Feature,Autoencoder,Isolation Forest,One-Class SVM
BB_Width,0.114557984036072,0.3867623123836296,0.20495513343632218
Drawdown,0.06989217399069642,0.5347595858789128,0.16158884717211994
MACD,0.34185497086683564,0.9788459515119788,0.5894036308295408
MACD_Signal,0.2770395013305486,0.8883629068081075,0.6503000759643338
MA_Ratio_10,0.19611634521634633,0.4175924877522112,0.21431381466243052
MA_Ratio_20,0.17245723173519903,0.44268649345151156,0.10291211793126345
Momentum_10,1.0,1.0,1.0
Return_Zscore_20,0.11408419878204074,0.3406310668461828,0.17910496477951196
Volatility_10,0.0980496003253422,0.4671548600889131,0.26975042871108135
Volatility_20,0.0876975817260512,0.4624596098613117,0.21325064735779004
