Perturbation_Level,Model,Jaccard
0.05,Isolation Forest,0.2122137404580152
0.1,Isolation Forest,0.0916030534351145
0.15,Isolation Forest,0.0646211064621106
0.2,Isolation Forest,0.0547431571053618
0.3,Isolation Forest,0.0459949937421777
0.05,Autoencoder,0.1497005988023952
0.1,Autoencoder,0.1474505327245053
0.15,Autoencoder,0.1473384030418251
0.2,Autoencoder,0.1473384030418251
0.3,Autoencoder,0.1473384030418251
0.05,One-Class SVM,0.2584680523479599
0.1,One-Class SVM,0.2558980213089802
0.15,One-Class SVM,0.2557034220532319
0.2,One-Class SVM,0.2557034220532319
0.3,One-Class SVM,0.2557034220532319
0.05,Ensemble Majority Vote,0.08007334963325183
0.1,Ensemble Majority Vote,0.07524828113063407
0.2,Ensemble Majority Vote,0.07491918615706408
0.3,Ensemble Majority Vote,0.07490494296577947
