Model,Perturbation_Level,Prediction_Flips,Flip_Rate,Baseline_F1,Perturbed_F1,F1_Drop,Baseline_ROC_AUC,Perturbed_ROC_AUC,AUC_Drop,Robustness_Score
Logistic Regression,0.05,2250,0.42857142857142855,0.3578454332552693,0.30980799169693823,0.04803744155833106,0.6116382739212006,0.5339453312166258,0.07769294270457483,0.5714285714285714
Random Forest,0.05,14,0.0026666666666666666,0.011594202898550725,0.0058309037900874635,0.005763299108463261,0.5487772550151536,0.5245993361235386,0.024177918891615024,0.9973333333333333
Gradient Boosting Fallback,0.05,2754,0.5245714285714286,0.0970724191063174,0.2783400809716599,-0.1812676618653425,0.5444652908067542,0.48302335113291955,0.061441939673834656,0.4754285714285714
Logistic Regression,0.1,2382,0.45371428571428574,0.3578454332552693,0.28213333333333335,0.07571209992193595,0.6116382739212006,0.5024817433973157,0.10915653052388496,0.5462857142857143
Random Forest,0.1,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.486603550295858,0.06217370471929562,0.9980952380952381
Gradient Boosting Fallback,0.1,3760,0.7161904761904762,0.0970724191063174,0.3077230892356943,-0.21065067012937688,0.5444652908067542,0.4835763890893347,0.06088890171741951,0.28380952380952384
Logistic Regression,0.15,2493,0.47485714285714287,0.3578454332552693,0.28203062046736505,0.07581481278790425,0.6116382739212006,0.5038600663876461,0.1077782075335545,0.5251428571428571
Random Forest,0.15,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.5018679751767932,0.04690927983836046,0.9980952380952381
Gradient Boosting Fallback,0.15,4181,0.7963809523809524,0.0970724191063174,0.31639253372759196,-0.21932011462127454,0.5444652908067542,0.4947248953672969,0.0497403954394573,0.2036190476190476
Logistic Regression,0.2,2501,0.4763809523809524,0.3578454332552693,0.2844614963003563,0.07338393695491302,0.6116382739212006,0.49674377255015156,0.11489450137104906,0.5236190476190477
Random Forest,0.2,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.5010877182854668,0.04768953672968679,0.9980952380952381
Gradient Boosting Fallback,0.2,4371,0.8325714285714285,0.0970724191063174,0.31846454593922163,-0.2213921268329042,0.5444652908067542,0.4870287776013855,0.05743651320536869,0.16742857142857148
Logistic Regression,0.3,2567,0.48895238095238097,0.3578454332552693,0.28678638434736,0.07105904890790932,0.6116382739212006,0.5042998412469333,0.10733843267426735,0.511047619047619
Random Forest,0.3,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.48923885120508015,0.05953840381007347,0.9980952380952381
Gradient Boosting Fallback,0.3,4529,0.8626666666666667,0.0970724191063174,0.32011086090420926,-0.22303844179789184,0.5444652908067542,0.4930209842690143,0.0514443065377399,0.1373333333333333
