Perturbation_Level,Model,Degradation
0.05,Isolation Forest,0.09809885931558937
0.1,Isolation Forest,0.2488593155893536
0.15,Isolation Forest,0.382509505703422
0.2,Isolation Forest,0.4792775665399239
0.3,Isolation Forest,0.5796577946768061
0.05,Autoencoder,0.8368821292775666
0.1,Autoencoder,0.8519011406844107
0.15,Autoencoder,0.8526615969581749
0.2,Autoencoder,0.8526615969581749
0.3,Autoencoder,0.8526615969581749
0.05,One-Class SVM,0.7325095057034221
0.1,One-Class SVM,0.7435361216730039
0.15,One-Class SVM,0.7442965779467681
0.2,One-Class SVM,0.7442965779467681
0.3,One-Class SVM,0.7442965779467681
