Feature,Mean_Abs_SHAP,Model
Momentum_10,0.2073404458645686,Autoencoder
MACD,0.0708803620805488,Autoencoder
MACD_Signal,0.05744149372797373,Autoencoder
MA_Ratio_10,0.04066285045848693,Autoencoder
MA_Ratio_20,0.03575735932054545,Autoencoder
RSI_14,0.03137125710496764,Autoencoder
Rolling_Skew_20,0.028021208482685328,Autoencoder
BB_Width,0.023752503487385394,Autoencoder
Return_Zscore_20,0.023654268641570428,Autoencoder
Volatility_10,0.02032964784829929,Autoencoder
Volatility_20,0.018183255696323963,Autoencoder
Return,0.01569981100927248,Autoencoder
Drawdown,0.014491474517675029,Autoencoder
Rolling_Kurt_20,0.013926722951980237,Autoencoder
Volume_Change,0.0077839211700835,Autoencoder
