Feature,Mean_Abs_SHAP,Model
Momentum_10,0.3195354700688345,One-Class SVM
MACD_Signal,0.20779394045906222,One-Class SVM
MACD,0.18833536623739514,One-Class SVM
Volatility_10,0.08619483003946501,One-Class SVM
MA_Ratio_10,0.0684808655104048,One-Class SVM
Volatility_20,0.06814114584595478,One-Class SVM
BB_Width,0.06549043490559593,One-Class SVM
Return_Zscore_20,0.057230389112483446,One-Class SVM
Volume_Change,0.05328095452026521,One-Class SVM
Drawdown,0.051633368239024424,One-Class SVM
Return,0.0506094472111983,One-Class SVM
Rolling_Kurt_20,0.04786415816604074,One-Class SVM
Rolling_Skew_20,0.040600005293759026,One-Class SVM
MA_Ratio_20,0.03288407197894565,One-Class SVM
RSI_14,0.02511186257328058,One-Class SVM
