Scenario,Model,Label_Flips,Jaccard,Robustness
Price Spike,Isolation Forest,431,0.2149362477231329,0.9180608365019012
Price Spike,Autoencoder,4476,0.1469411092052601,0.1490494296577946
Price Spike,One-Class SVM,3839,0.2593092803395717,0.2701520912547528
Volume Shock,Isolation Forest,616,0.2041343669250646,0.8828897338403042
Volume Shock,Autoencoder,670,0.5102339181286549,0.8726235741444867
Volume Shock,One-Class SVM,2447,0.3545238723292007,0.5347908745247149
Volatility Shock,Isolation Forest,511,0.2361733931240657,0.902851711026616
Volatility Shock,Autoencoder,628,0.5120435120435121,0.8806083650190114
Volatility Shock,One-Class SVM,1111,0.5198789974070873,0.7887832699619772
Price Spike,Ensemble Majority Vote,3075,0.11357739982703949,0.41539923954372626
Volume Shock,Ensemble Majority Vote,1406,0.21802002224694106,0.7326996197718632
Volatility Shock,Ensemble Majority Vote,721,0.34215328467153283,0.8629277566539924
