Feature,Importance
Return_Zscore_20,0.09871227485676928
Volatility_10,0.07232710845596868
Volatility_20,0.07046096178318939
MACD_Signal,0.0696632673532997
MACD,0.06384652404203367
MA_Ratio_10,0.06266985847742262
Ensemble_Score,0.0595709470353042
Volume_Change,0.05664228746650713
Pred_OCSVM_Adaptive,0.05361215567145077
MA_Ratio_20,0.05083834885081058
Drawdown,0.048648209619498395
Ensemble_MajorityVote,0.047312589728895904
Momentum_10,0.04536519395058434
Return,0.04343380233059934
Rolling_Skew_20,0.03783957987274519
BB_Width,0.03571244995517529
RSI_14,0.035107605057322674
Rolling_Kurt_20,0.02775198907945461
Pred_AE_Adaptive,0.017570330281691773
Pred_IF_Adaptive,0.0029145161312763086
