Model,Perturbation_Level,Prediction_Flips,Flip_Rate,Baseline_F1,Perturbed_F1,F1_Drop,Baseline_ROC_AUC,Perturbed_ROC_AUC,AUC_Drop,Robustness_Score
Logistic Regression,0.05,2191,0.41733333333333333,0.3578454332552693,0.3035854488353834,0.05425998441988589,0.6116382739212006,0.5298193678741521,0.08181890604704856,0.5826666666666667
Random Forest,0.05,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.5233745706451147,0.025402684370038897,0.9980952380952381
Gradient Boosting Fallback,0.05,2826,0.5382857142857143,0.0970724191063174,0.2945273631840796,-0.1974549440777622,0.5444652908067542,0.4949622744984846,0.04950301630826959,0.46171428571428574
Logistic Regression,0.1,2429,0.46266666666666667,0.3578454332552693,0.2847013907826561,0.07314404247261319,0.6116382739212006,0.5039364987732717,0.10770177514792889,0.5373333333333333
Random Forest,0.1,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.48742052244191075,0.06135673257324287,0.9980952380952381
Gradient Boosting Fallback,0.1,3817,0.727047619047619,0.0970724191063174,0.312784935579782,-0.21571251647346457,0.5444652908067542,0.4992662721893491,0.04519901861740511,0.27295238095238095
Logistic Regression,0.15,2529,0.4817142857142857,0.3578454332552693,0.2916554145287605,0.06619001872650881,0.6116382739212006,0.5103392697358927,0.1012990041853079,0.5182857142857142
Random Forest,0.15,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.5096444508587098,0.03913280415644382,0.9980952380952381
Gradient Boosting Fallback,0.15,4186,0.7973333333333333,0.0970724191063174,0.31893687707641194,-0.22186445797009452,0.5444652908067542,0.49931661134362815,0.04514867946312606,0.20266666666666666
Logistic Regression,0.2,2532,0.48228571428571426,0.3578454332552693,0.28075880758807586,0.07708662566719343,0.6116382739212006,0.49168491845865203,0.1199533554625486,0.5177142857142858
Random Forest,0.2,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.48345804589406843,0.06531920912108519,0.9980952380952381
Gradient Boosting Fallback,0.2,4320,0.8228571428571428,0.0970724191063174,0.31594098596617487,-0.21886856685985745,0.5444652908067542,0.485629210564295,0.05883608024245923,0.17714285714285716
Logistic Regression,0.3,2540,0.4838095238095238,0.3578454332552693,0.2825278810408922,0.07531755221437708,0.6116382739212006,0.5040200894790013,0.10761818444219928,0.5161904761904762
Random Forest,0.3,10,0.0019047619047619048,0.011594202898550725,0.0,0.011594202898550725,0.5487772550151536,0.505577947755809,0.04319930725934462,0.9980952380952381
Gradient Boosting Fallback,0.3,4515,0.86,0.0970724191063174,0.3214966222068249,-0.22442420310050748,0.5444652908067542,0.4978620868812238,0.04660320392553041,0.14
